wavelength,mean,gamma
750.0,-0.15443734691610764,0.8795840276950124
800.0,-0.1632915831576901,0.9204528945016415
850.0,-0.11533254539542598,1.0144346338105046
900.0,-0.07332055096374608,1.0911752200940432
950.0,-0.03714825694484775,1.1493672064302456
1000.0,-0.0035356325108140303,1.1920222707810257
1050.0,-0.00995475377850575,1.198170025669184
1100.0,-0.01668391414812674,1.198306888722784
1150.0,-0.023926439964146354,1.1938046795884683
1200.0,-0.031088177863580188,1.1972871543013468
1250.0,-0.04628082896827882,1.262841790592469
1300.0,-0.0628851876521296,1.3452094110907724
1350.0,-0.08390500135798733,1.443907880803254
1400.0,-0.09566884085968771,1.6073452235941408
1450.0,-0.06459103897623054,1.621714844043607
1500.0,-0.03530769817746687,1.6358595209853801
1550.0,-0.00381517421098997,1.652762093493068
1600.0,0.03243456695567327,1.666744214303199
1650.0,0.019263193688403287,1.6570048503030095
1700.0,0.005430132266869036,1.6281185481224714
1750.0,-0.007625938901562607,1.6086006982824288
1800.0,-0.020899687857838977,1.5886114901090043
